,Comment Head,Rating,Review,Name,Date
0,A great budget phone for Manual Photography and Gaming,4,"Here's my full and honest review for those who wanna buy it:It's kind of hard to get the features it gives in such a small price range. It surpasses most phones in similar price range, for following reasons:1. The CPU. Even though it uses Mediatek chip (which is cheap and inferior to Snapdragons), it runs all of its 8 cores on stable 2GHz, not like others which have 2 cores running at 2.5GHz and rest of the 6 are at 1.5. Better buy the 8GB RAM version to get the most out of it, because This Mediatek chip somehow performs at par (or even better) than Snapdragon processors that come within the similar price range. However, it doesn't always run at full speed, but only when needed. This gives some problems like occasional lags when quickly opening high-memory apps while phone is in calm mode for too long.2. Liquid cooled: Again, for this price range it's amazing. However, you need to keep the phone covered with plastic case (comes in the box) to make it work flawlessly. It's because the heat from your hands can easily get transferred to the inside fluid and interfere with convection currents that keep the phone cool. Using a plastic cover helps insulate it.3. Multiple Antennae: The 3G/4G cellular reception on this phone is so good that you're practically never out of signal in the areas where most people struggle to get a single bar. Although it's aimed for gamers who need stable connection for online gaming, it's a big boon for everything else. Wifi/Hotspot works way better than any other phone.4. Large battery, Out-of-Box Fast Charger and USB type C: Again, for a phone this cheap, it's a steal. Battery lasts VERY long because they didn't just pump this phone with fast CPU and large battery, but the way this phone handles everything is actually very efficient that gives you smooth experience while keeping the battery running for long. There are some noticeable glitches though, like sometimes phone takes a while to go from battery-saving to full performing mode and that creates lags. But thankfully, those lags aren't uncommon even in most expensive android phones, so for this small price, you should live with it. Because your other option for total zero lag free experience would be to spend 10x money and buy the iPhone 11, and once Apple releases new iOS, that will start lagging too.5.  Cameras: This phone has 5 total cameras. While most of them weren't necessary and are uselessly overhyped, the main reasons to buy this are:  a.) The color/contrast you get in the final clicked picture of 16MP that combines the data from multiple sensors - this is unmatched and you'll love the pictures shot in regular photo mode.  b.) The pro mode with manual controls (32-sec shutter @3200ISO) for main camera and stable lens focus (even without OIS) - best for astrophotography. MacroLens works best in Pro mode where you can get nearest focus for some very detailed microscopic shots. You also get other stuff like metering control, pocket mode where it locks screen while still recording, peak overlay to show you what's in focus and what's not, timelapse with control over intervals [manual controls don't apply to front camera, and for other two sensors, shutter speed is very limited and final pictures are very blurry and have no detail whatsoever at ISO higher than 400. the camera app is native to Redmi software and doesn't support timelapse in manual mode; and other apps like CameraFV-5 don't work so well with bracketing/timelapse... proshot doesn't work at all. you can shoot timelapse in native app but then you won't get manual controls, which is useless for night]  c.) All sensors are larger than usual phone sensors, which means better details in low light in all modes [but it doesn't mean they all capture good detail. the macro lens gives worst images and ultrawide isn't any good at all if you want detailed images. only the main sensor with its pixel binning does the actual job]  d.) 1080p@120fps and 720p@240fps video encoded in x265 - fast and efficient [rest of slowmo modes are low performing, misguided and not very useful. 960fps mode is there, but it captures only 4 seconds of footage, with the 960fps slowmo applied only to the last 1 second - you have to time your shot very precisely to get it right. there's no sound alert for when it will begin slowmo. also, it isn't native 960fps, more like 480fps with merged frames to make it look like 960fps - capture very fast moving objects like shooting an arrow from bow, or vibrating guitar string and you'll get the artifacts that make it look so fake and ugly]  Still, there are things where Redmi could have utilized their budget somewhere else - like Macro lens and Ultrawide aren't very practical. Not just for this phone, but they aren't practical in most phones (Ultrawide gives you wider view but distorts the periphery and people in edges), and in this phone, both Ultrawide and Macro lenses use low-res sensors (2MP for Macro and 8MP for UW), and they aren't good in low light, and even in full daylight they give much lesser detail and color/contrast than the main sensor. and the 64MP's full 64MP don't look any good when zoomed in to 100%, so don't expect to get sharp images from small sectors of a full 64MP photo. But it helps create a very sharp and detailed 16MP photo by combining pixels from 64MP sensor with data from other two cameras, which is kinda better than most expensive phones can do. Also, separating foreground from background is done VERY good (probably because of its AI-learning and 4-camera depth information - works well for front camera too). It can even separate individual hair strands in some cases if lighting is good and subject doesn't move - which is at par with what iPhone 11 Pro does with 3-camera unit.6. Operating System and functions: Usually the custom-Android builds kind of tarnish the performance, but that isn't the case with this phone. Here's what I liked about it:  a. it gives the freedom to use your own launcher homescreen app (which many other custom-UI Androids don't provide).  b. The gaming mode is one of the best things about it - when playing fullscreen games like PUBG/ClashOfClans etc, you can swipe a corner and use Whatsapp/Facebook and Browser in small sidebar like area without leaving the game! even keyboard turns into short, floating version to help typing while keeping the game under eye. There is also a neat option to turn off display while keeping the game running without locking your phone.  c. You can record the screen while gaming (which is fast and doesn't stress the system performance while recording) [but during the recording mode, the audio get desynced from what's going on in the game. this also happens if you connect wireless headphones or cast the screen to your TV/monitor. but this isn't a RedMi issue. it happens in every device when you record/cast audio or video wirelessly]  d. Fingerprint sensor works flawlessly, there are no mismatches so far as I've used. Hope it stays that way.  e. Native call recorder in calling screen which records both your voice and caller's voice in neat detail (unlike most phones where you can't hear other person in recording unless they're on speaker)Final Verdict: A great phone to have for this price. It isn't just a cheap phone because price is cheap. It's actually a good device with good battery and smooth performance everywhere. There are some areas where RedMi could've done better instead of putting four cameras, but then again you're getting what other phones can't give you even at double the price so I shouldn't be complaining about this at all. :)",Uday Singh, 31 January 2020
1,good,4,product is very good i bought it just when it was launched try to go for colours other than black. i personally like black color but for this phone maybe the green color is more suitable looking. one big problem i faced is that after just few months battery was not able to hold the charge like it did at the start almost everyday i need to charge it and i don't even play games rarely some calls and just checking my whatsapp if with these very few tasks the battery life is this poor i don't know what will happen if someone wants to play games. but the main advantage is phone is quite hard doesn't even have a scratch even after falling on roads so many times like one of those old nokia phones. so if you are not playing regular games only want it for big screen and doing a few tasks then its a good phone,Siddharth Das, 5 September 2022
2,The Apple of Your Eye,5,"The Redmi Note series has always set the bar when it comes to the mid-range smartphone territory.And once again, as an overall package, the Redmi Note 8 Pro is competing in flagship level territory, especially when it comes to the specs.*Design - 5/5*The glass sandwich design makes the phone feel elegant and subtle unlike the tacky metal Redmi Notes of old. The Note 8 Pro has a sturdy heft in hand and doesn't feel very unbalanced in weight distribution. One handed usage is not exceptional, since it is a pretty big phone. The camera lens array looks well designed on the back and the White Colour variant looks really good. My pick would be the Gamma Green variant however, it really is something else. Buttons are a non-issue, and I particularly like this placement over Samsung's way. I do not see the need for the text ""64MP AI Super Camera"" on the back however, but it is barely visible. The included case is very good quality and a boon to have.*Display - 4/5*The LCD is display is vibrant and bright and does not suffer from the dullness issues that used to plague Xiaomi phones in the past. The screen is terrific for everyday usage as well as Media Consumption. My only gripe would be that it still pales in front of the AMOLED display on the Realme XT which has much more vibrant colours and battery efficiency.*Performance & Specs - 5/5*There are really no complaints when it comes to specs. 6gb of RAM at this price point is simply a godsend and the USB-C port means this phone is 2019-ready. The Mediatek G90T SoC is a good performer in most day to day tasks and can handle heavy games at acceptable frame rates if you drop the settings down. It might be a bit worse than Qualcomm when it comes to open source work however, such as GCam ports and Custom OS's. The Haptic Motor is predictably bad.*Battery - 5/5*The 4500 mah battery eeks out almost 7 hours of Screen on Time on standard usage. Add to that the included fast charger in the box and this competes in flagship territory.*Camera - 4/5*The camera array here is definitely the best out there in this price point. It is insane how these mid-range smartphones can have a quad camera array while Google is still struggling to include two. The key difference between more competent camera phones and this however, is consistency.While shots in the day time generally look excellent with good amount of detail, the Note 8 Pro often produces excessive noise in darker areas of the shot such as the highlights. Once the available light starts to go down, the more noise it produces in shots with the back camera - such as in the sky and in leaves of trees. But these shots are mostly - perfectly usable for social media.What rectifies some of these issues is the Night Mode. Once Night Mode is used, the photos are generally more detailed and have much less noise.Portrait Mode is generally very good.The Telephoto lens works well, but the Ultrawide struggles to find focus and produces soft, sometimes hazy images. It is a tough angle to get right.The Selfie Camera is very good. Switching off beauty mode works as expected and it shows good detail in human subjects. Skin tones are also fairly accurate and not too white.There are a billion modes and the whole Camera UI can seem a bit overwhelming with the amount of features it has, some very stupid ones to boot. Video quality is good and the slow mo features are very nice to have. Super Slow Mo is very difficult to get right though and was a chore to time properly. Xiaomi loses some points for this cluttered Camera Application that has pretty lame stuff like filters, which you can anyways apply later within an editor before posting.*Software - 3/5*The Achilles heel of the Redmi Line - MIUI. There is a lot of bloatware that gets preinstalled onto the phone, which thankfully, can be uninstalled. MIUI has ads all over the place - please go through the setup process carefully and disable the user experience program to get rid of some of the ads. There is an article by Android Authority that can help you get rid of all the ads in MIUI, but it would be nice if we didn't have to deal with this in the first place.No App Drawer, everything plopped onto the home screen in typical Apple Fashion. I was not a fan of this and installed Nova Launcher at the first opportunity, which worked without a hitch.There are microstutters and jitters and lags occasionally across MIUI, not so much once Nova launcher has something to say about it.The Settings Menu is confusing and suffers from poor translation. It lacks polish and the options are often poorly organized and overwhelming. While MIUI is chock full of features, it is slow to get updates and probably won't receive any more updates after Android 10.  The Gesture Navigation right now is not upto par with Android 10 fluidity and polish. If you buy this, you can't really be thinking along the lines of frequent updates and bug fixes.Also, I could not get the Haptic feedback to work on GBoard, which is the default keyboard. This seems like a bug and is not nice to experience Day 1.To Conclude - All the negatives listed are honestly nitpicking at what is a very good device at this price point. Xiaomi has indeed redefined what 15k brings you these days in Smartphone market. Suffice it to say that this is the Apple iPhone for people who still have two healthy, intact kidneys.",pSyDuck, 13 December 2019
3,Better,4,I like design and I don't like 2mp cam,Ashok, 22 September 2022
4,Best phone for money range,4,"Good looks, good performance and durable.",Kk Sanodiya, 16 September 2022
5,Good phone and best life mi,4,Phone quality is good and amazing,Sagar Bande, 13 September 2022
6,Good product,4,Good product,Reshma dadabhai patil, 6 September 2022
7,Nice product to use.,4,Very good product. No doubt about MI product. Wating for new such a reasonable launch.,Avinash Tandale, 27 August 2022
8,Nice phone but need some improvement in battery backup and camera quality,4,Nice phone but need some improvement in battery backup and camera quality.,Rohit Sanas, 20 August 2022
9,3 years and the phone is still in very good condition,5,"I was doubtful to go for it reading a few reviews but then i chose it, regardless and it turned out to be a great deal. Even today after 2 years of purchase, the Phone functions so well just like the very first day of purchase.",Roly Gupta, 19 September 2022
